Rental Id,Duration,Bike Id,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name
94113398,960,6800,07/01/2020 14:07,541,"Green Park Station, Mayfair",07/01/2020 13:51,164,"Cleveland Gardens, Bayswater"
94117049,600,8691,07/01/2020 17:06,48,"Godliman Street, St. Paul's",07/01/2020 16:56,323,"Clifton Street, Shoreditch"
94110497,540,531,07/01/2020 11:01,654,"Ashmole Estate, Oval",07/01/2020 10:52,624,"Courland Grove, Wandsworth Road"
94050449,600,8150,04/01/2020 12:27,685,"Osiers Road, Wandsworth",04/01/2020 12:17,774,"Hurlingham Park, Parsons Green"
94019122,1140,15515,02/01/2020 16:31,676,"Hartington Road, Stockwell",02/01/2020 16:12,83,"Panton Street, West End"
94053811,240,9681,04/01/2020 14:35,202,"Leman Street, Aldgate",04/01/2020 14:31,449,"Shadwell Station, Shadwell"
94047561,420,16447,04/01/2020 09:50,765,"Ranelagh Gardens, Fulham",04/01/2020 09:43,685,"Osiers Road, Wandsworth"
94010337,360,4973,02/01/2020 08:35,694,"Putney Rail Station, Putney",02/01/2020 08:29,685,"Osiers Road, Wandsworth"
94116373,600,16532,07/01/2020 16:44,624,"Courland Grove, Wandsworth Road",07/01/2020 16:34,654,"Ashmole Estate, Oval"
94103230,720,12395,07/01/2020 08:17,323,"Clifton Street, Shoreditch",07/01/2020 08:05,48,"Godliman Street, St. Paul's"
94033146,420,8688,03/01/2020 12:08,769,"Sandilands Road, Walham Green",03/01/2020 12:01,665,"Smugglers Way, Wandsworth"
94011730,1080,15301,02/01/2020 09:25,83,"Panton Street, West End",02/01/2020 09:07,669,"Teversham Lane, Stockwell"
94011856,300,8435,02/01/2020 09:17,685,"Osiers Road, Wandsworth",02/01/2020 09:12,705,"Upper Richmond Road, Putney"
94034709,420,15886,03/01/2020 13:36,665,"Smugglers Way, Wandsworth",03/01/2020 13:29,769,"Sandilands Road, Walham Green"
