latitude,longitude,count
51.526377,-0.07813,31
51.506613,-0.142844,47
51.511542,-0.056667,16
51.493184,-0.167894,18
51.50964,-0.08497,24
51.503493,-0.07962,46
51.514233,-0.073537,28
51.518541,-0.034903,13
51.526448,-0.17219,8
51.521889,-0.04667,15
51.51031,-0.187402,17
51.51793,-0.067937,12
51.509087,-0.129697,9
51.49775,-0.10988,7
51.490217,-0.215087,10
51.515059,-0.105344,28
51.528936,-0.055894,20
51.491327,-0.096518,10
51.522264,-0.114079,18
51.524696,-0.084439,36
51.500241,-0.15934,15
51.488105,-0.110121,6
51.510736,-0.144165,21
51.493204,-0.144132,20
51.490853,-0.19617,7
51.492084,-0.229116,10
51.512515,-0.133201,36
51.520596,-0.116688,30
51.493573,-0.139956,23
51.497998,-0.14296,17
51.51013,-0.155757,7
51.509506,-0.075459,39
51.497622,-0.125978,14
51.528673,-0.087459,12
51.516204,-0.155525,20
51.514577,-0.158264,37
51.511066,-0.053558,19
51.462392,-0.168292,10
51.509353,-0.196422,23
51.509639,-0.13151,21
51.501513,-0.123823,34
51.521564,-0.039264,14
51.47659,-0.118256,11
51.486343,-0.122492,37
51.515308,-0.147203,29
51.502757,-0.155349,10
51.520893,-0.051394,37
51.520955,-0.083493,30
51.523648,-0.074754,41
51.525645,-0.069543,27
51.485587,-0.18119,32
51.542118,-0.028941,15
51.528224,-0.037471,14
51.525501,-0.032267,17
51.50623,-0.02296,14
51.525269,-0.163795,2
51.513684,-0.13558,21
51.533019,-0.139174,4
51.501444,-0.110699,28
51.517344,-0.138072,23
51.502953,-0.158456,45
51.49087,-0.206029,6
51.487807,-0.122759,12
51.49217,-0.101536,12
51.522561,-0.054883,13
51.518587,-0.132053,32
51.526236,-0.134407,16
51.528833,-0.13225,20
51.520715,-0.145211,19
51.533005,-0.136792,5
51.471433,-0.12367,7
51.51563,-0.049067,14
51.48894,-0.111435,16
51.517372,-0.164207,12
51.522507,-0.041378,8
51.506864,-0.150666,9
51.488023,-0.166878,29
51.508103,-0.126021,50
51.492369,-0.147478,22
51.494591,-0.134234,3
51.512276,-0.157436,20
51.503083,-0.017676,27
51.472865,-0.148059,8
51.505569,-0.111606,13
51.530199,-0.122299,28
51.488124,-0.120903,10
51.530529,-0.167515,7
51.507131,-0.06691,30
51.51217,-0.150481,16
51.51953,-0.135777,14
51.506133,-0.114686,16
51.470847,-0.170703,7
51.536384,-0.102757,37
51.500397,-0.193068,16
51.485821,-0.149004,17
51.51787,-0.201005,7
51.528692,-0.059091,6
51.501594,-0.222293,8
51.472509,-0.122831,18
51.494185,-0.18267,26
51.512911,-0.153645,14
51.489975,-0.132845,18
51.500823,-0.08974,19
51.541793,-0.00481,14
51.484386,-0.204815,18
51.476259,-0.193254,6
51.526578,-0.027581,5
51.5112,-0.014438,5
51.523344,-0.183846,15
51.518913,-0.156166,29
51.490664,-0.166485,5
51.522617,-0.071653,14
51.51323,-0.211593,3
51.53136,-0.117069,4
51.516118,-0.128585,14
51.461388,-0.139221,7
51.516892,-0.158249,13
51.51417,-0.052099,4
51.515529,-0.19024,6
51.51549,-0.013475,5
51.496863,-0.142943,34
51.471095,-0.15785,8
51.465123,-0.157788,6
51.490491,-0.149186,7
51.49616,-0.140947,28
51.51795,-0.108657,53
51.514924,-0.066078,15
51.510017,-0.157275,25
51.53724,-0.124807,14
51.493631,-0.190603,8
51.50274,-0.149569,35
51.52728,-0.118295,11
51.514499,-0.141423,45
51.504723,-0.192538,11
51.515208,-0.117863,15
51.524526,-0.079248,19
51.505014,-0.17306,12
51.481335,-0.138212,8
